cite,cited,subgraph_1hop,subgraph_2hop,subgraph_3hop
35,1033,"[[35, 35, 41714, 45605, 82920, 210871, 210872, 210872], [210871, 41714, 1033, 1033, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 32083, 32083, 35061, 35061, 35061, 41714, 41714, 44455, 44514, 45605, 45605, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 240791, 273152], [210871, 273152, 35061, 41714, 35061, 45605, 210871, 240791, 45605, 1033, 44455, 41714, 210871, 1033, 240791, 273152, 35, 273152, 35, 210871, 273152, 35, 45605, 210871]]","[[35, 35, 35, 35, 35, 19621, 32083, 32083, 35061, 35061, 35061, 41714, 41714, 44455, 44514, 45605, 45605, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 240791, 273152], [141342, 210871, 273152, 35061, 41714, 240791, 35061, 45605, 210871, 240791, 45605, 1033, 44455, 41714, 210871, 1033, 240791, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 45605, 210871]]"
35,103515,"[[35, 35, 8865, 82920, 210871, 210872, 210872], [210871, 8865, 103515, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 8865, 35061, 44514, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 273152], [210871, 273152, 35061, 8865, 103515, 210871, 210871, 273152, 35, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 8865, 32083, 35061, 44514, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 210871, 273152, 35061, 8865, 103515, 35061, 210871, 210871, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 210871]]"
35,1050679,"[[35, 35, 3229, 35797, 82920, 210871, 210872, 210872, 427606], [210871, 427606, 1050679, 1050679, 35, 35, 210871, 35, 1050679]]","[[35, 35, 35, 35, 1786, 3229, 4330, 6184, 6784, 29492, 29492, 30817, 35061, 35797, 36140, 44514, 82920, 82920, 144408, 210871, 210871, 210872, 210872, 210872, 273152, 427606], [210871, 273152, 35061, 427606, 35797, 1050679, 35797, 3229, 35797, 144408, 3229, 3229, 210871, 1050679, 35797, 210871, 273152, 35, 3229, 273152, 35, 210871, 273152, 35, 210871, 1050679]]","[[35, 35, 35, 35, 35, 1786, 3229, 4330, 4584, 4584, 4584, 6184, 6213, 6213, 6214, 6784, 6913, 12638, 19621, 22563, 22563, 27895, 29492, 29492, 30817, 32083, 35061, 35797, 36140, 36140, 44514, 46547, 82920, 82920, 141342, 144408, 202639, 210871, 210871, 210872, 210872, 210872, 231198, 273152, 427606], [141342, 210871, 273152, 35061, 427606, 35797, 1050679, 35797, 6184, 6213, 6214, 3229, 6184, 6214, 6184, 35797, 4330, 4330, 6184, 1786, 36140, 1786, 144408, 3229, 3229, 35061, 210871, 1050679, 22563, 35797, 210871, 1786, 273152, 35, 35061, 3229, 144408, 273152, 35, 210871, 273152, 35, 144408, 210871, 1050679]]"
35,1103960,"[[35, 35, 35, 3229, 33895, 33895, 33904, 33907, 82920, 210871, 210872, 210872], [210871, 33904, 33907, 1103960, 1103960, 33904, 1103960, 1103960, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 35, 35, 35, 3229, 6184, 14062, 14062, 29492, 29492, 30817, 33895, 33895, 33904, 33907, 35061, 44514, 58758, 82920, 82920, 97390, 97645, 144408, 210871, 210871, 210872, 210872, 210872, 273152, 503893], [210871, 273152, 33904, 33907, 35061, 503893, 97645, 1103960, 3229, 33907, 97390, 144408, 3229, 3229, 1103960, 33904, 1103960, 1103960, 210871, 210871, 33895, 273152, 35, 33907, 33907, 3229, 273152, 35, 210871, 273152, 35, 210871, 33904]]","[[35, 35, 35, 35, 35, 35, 35, 35, 3229, 4584, 4584, 4584, 6184, 6213, 6213, 6214, 14062, 14062, 19621, 29492, 29492, 30817, 32083, 33895, 33895, 33904, 33907, 35061, 44514, 58758, 58758, 82920, 82920, 97390, 97645, 134219, 141342, 144408, 202639, 210871, 210871, 210872, 210872, 210872, 231198, 273152, 503893, 576973], [141342, 210871, 273152, 33904, 33907, 35061, 503893, 97645, 1103960, 6184, 6213, 6214, 3229, 6184, 6214, 6184, 33907, 97390, 6184, 144408, 3229, 3229, 35061, 1103960, 33904, 1103960, 1103960, 210871, 210871, 33895, 576973, 273152, 35, 33907, 33907, 503893, 35061, 3229, 144408, 273152, 35, 210871, 273152, 35, 144408, 210871, 33904, 58758]]"
35,1103985,"[[35, 35, 1688, 82920, 210871, 210872, 210872], [1688, 210871, 1103985, 35, 35, 210871, 35]]","[[35, 35, 35, 35, 1688, 35061, 44514, 58758, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 273152], [1688, 210871, 273152, 35061, 1103985, 210871, 210871, 1688, 273152, 35, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 1688, 32083, 35061, 44514, 58758, 58758, 82920, 82920, 141342, 210871, 210871, 210872, 210872, 210872, 273152, 576973], [141342, 1688, 210871, 273152, 35061, 1103985, 35061, 210871, 210871, 1688, 576973, 273152, 35, 35061, 273152, 35, 210871, 273152, 35, 210871, 58758]]"
35,1109199,"[[35, 35, 6214, 82920, 148170, 210871, 210872, 210872], [148170, 210871, 1109199, 35, 1109199, 35, 210871, 35]]","[[35, 35, 35, 35, 117, 4584, 4584, 4584, 6151, 6151, 6213, 6213, 6214, 35061, 44514, 82920, 82920, 148170, 210871, 210871, 210872, 210872, 210872, 273152], [148170, 210871, 273152, 35061, 6214, 6151, 6213, 6214, 6213, 6214, 6151, 6214, 1109199, 210871, 210871, 273152, 35, 1109199, 273152, 35, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 35, 117, 887, 887, 4584, 4584, 4584, 6151, 6151, 6213, 6213, 6214, 32083, 35061, 44514, 82920, 82920, 141342, 148170, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 148170, 210871, 273152, 35061, 887, 6214, 6151, 6213, 6151, 6213, 6214, 6213, 6214, 6151, 6214, 1109199, 35061, 210871, 210871, 273152, 35, 35061, 1109199, 273152, 35, 887, 210871, 273152, 35, 210871]]"
35,1112911,"[[35, 35, 887, 22229, 22229, 82920, 144701, 144701, 210871, 210871, 210872, 210872], [210871, 887, 1112911, 1112911, 144701, 35, 1112911, 22229, 35, 887, 210871, 35]]","[[35, 35, 35, 35, 35, 887, 22229, 22229, 35061, 35061, 35061, 44514, 82920, 82920, 144701, 144701, 198653, 210871, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [198653, 210871, 273152, 35061, 887, 1112911, 1112911, 144701, 144701, 210871, 22229, 210871, 273152, 35, 1112911, 22229, 887, 198653, 273152, 35, 887, 210871, 273152, 35, 210871]]","[[35, 35, 35, 35, 35, 35, 887, 22229, 22229, 32083, 35061, 35061, 35061, 44514, 82920, 82920, 141342, 144701, 144701, 198653, 210871, 210871, 210871, 210871, 210872, 210872, 210872, 273152], [141342, 198653, 210871, 273152, 35061, 887, 1112911, 1112911, 144701, 35061, 144701, 210871, 22229, 210871, 273152, 35, 35061, 1112911, 22229, 887, 198653, 273152, 35, 887, 210871, 273152, 35, 210871]]"
35,1113438,"[[35, 35, 35061, 35061, 35061, 35852, 82920, 141324, 210871, 210872, 210872, 240791], [210871, 35061, 1113438, 210871, 240791, 1113438, 35, 1113438, 35, 210871, 35, 1113438]]","[[35, 35, 35, 35, 35, 35, 19621, 32083, 32083, 35061, 35061, 35061, 35061, 35852, 44514, 45605, 54131, 66556, 66556, 66564, 82920, 82920, 94639, 141324, 141342, 210871, 210871, 210872, 210872, 210872, 240791, 240791, 273152], [141342, 210871, 273152, 35061, 54131, 66556, 240791, 35061, 45605, 1113438, 210871, 240791, 45605, 1113438, 210871, 240791, 141324, 141324, 54131, 141324, 273152, 35, 141324, 1113438, 35061, 273152, 35, 210871, 273152, 35, 1113438, 45605, 210871]]","[[35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 19621, 19621, 28851, 32083, 32083, 35061, 35061, 35061, 35061, 35852, 44514, 45605, 54131, 66556, 66556, 66564, 82920, 82920, 85352, 94639, 103515, 141324, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 240791, 240791, 273152, 575077, 853114, 853114, 853115, 853115, 853115, 853116], [103515, 141342, 210871, 273152, 28851, 35061, 54131, 575077, 66556, 85352, 240791, 853116, 54131, 35061, 45605, 1113438, 210871, 240791, 45605, 1113438, 210871, 240791, 141324, 141324, 54131, 141324, 273152, 35, 66556, 141324, 54131, 1113438, 35061, 273152, 35, 575077, 210871, 273152, 35, 1113438, 45605, 210871, 66556, 19621, 853116, 19621, 853114, 853116, 19621]]"
35,1113831,"[[35, 35, 82920, 210871, 210872, 210872, 248425, 248431], [210871, 248425, 35, 35, 210871, 35, 1113831, 1113831]]","[[35, 35, 35, 35, 35, 35061, 44514, 82920, 82920, 210871, 210871, 210872, 210872, 210872, 248425, 248431, 273152, 579008], [210871, 248425, 273152, 35061, 579008, 210871, 210871, 273152, 35, 273152, 35, 210871, 273152, 35, 1113831, 1113831, 210871, 248425]]","[[35, 35, 35, 35, 35, 35, 35, 32083, 35061, 44514, 54132, 82920, 82920, 141342, 210871, 210871, 210871, 210872, 210872, 210872, 248425, 248431, 273152, 575077, 579008], [141342, 210871, 248425, 273152, 35061, 575077, 579008, 35061, 210871, 210871, 579008, 273152, 35, 35061, 273152, 35, 575077, 210871, 273152, 35, 1113831, 1113831, 210871, 579008, 248425]]"
35,1114331,"[[35, 35, 35, 35, 82920, 82920, 85352, 134199, 210871, 210872, 210872, 259701, 259702], [210871, 259701, 259702, 85352, 259702, 35, 1114331, 1114331, 35, 210871, 35, 1114331, 1114331]]","[[35, 35, 35, 35, 35, 35, 35, 35061, 44514, 82920, 82920, 82920, 85352, 85352, 134199, 210871, 210871, 210872, 210872, 210872, 259701, 259702, 273152, 640617], [210871, 259701, 259702, 273152, 35061, 640617, 85352, 210871, 210871, 259702, 273152, 35, 1114331, 640617, 1114331, 273152, 35, 210871, 273152, 35, 1114331, 1114331, 210871, 259702]]","[[35, 35, 35, 35, 35, 35, 35, 35, 32083, 35061, 44514, 82920, 82920, 82920, 85352, 85352, 134199, 141342, 210871, 210871, 210872, 210872, 210872, 259701, 259702, 273152, 640617], [141342, 210871, 259701, 259702, 273152, 35061, 640617, 85352, 35061, 210871, 210871, 259702, 273152, 35, 1114331, 640617, 1114331, 35061, 273152, 35, 210871, 273152, 35, 1114331, 1114331, 210871, 259702]]"
